UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,ADMCON10,ADMCON11,ADMCON12,XAPPLCN,APPLCN,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XAPPLCNAN,APPLCNAN,XAPPLCNUN,APPLCNUN,XADMSSN,ADMSSN,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XADMSSNAN,ADMSSNAN,XADMSSNUN,ADMSSNUN,XENRLT,ENRLT,XENRLM,ENRLM,XENRLW,ENRLW,XENRLAN,ENRLAN,XENRLUN,ENRLUN,XENRLFT,ENRLFT,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLFTAN,ENRLFTAN,XENRLFTUN,ENRLFTUN,XENRLPT,ENRLPT,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,XENRLPTAN,ENRLPTAN,XENRLPTUN,ENRLPTUN,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR50,SATVR50,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT50,SATMT50,XSATMT75,SATMT75,XACTCM25,ACTCM25,XACTCM50,ACTCM50,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN50,ACTEN50,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT50,ACTMT50,XACTMT75,ACTMT75
100654,1,3,1,3,3,3,5,1,3,3,3,3,R,23406,R,7568,R,14930,Z,0,R,908,R,13564,R,4580,R,8981,A,,R,3,R,1968,R,832,R,1136,A,,R,0,R,1939,R,818,R,1121,A,,R,0,R,29,R,14,R,15,A,,R,0,R,537,R,27,R,1317,R,67,R,420,R,470,R,530,R,390,R,440,R,510,R,14,R,17,R,19,R,13,R,16,R,19,R,14,R,16,R,17
100663,1,3,1,1,3,3,5,3,3,3,3,3,R,11379,R,4211,R,7144,A,,R,24,R,10034,R,3593,R,6420,A,,R,21,R,2014,R,679,R,1330,A,,R,5,R,1993,R,668,R,1320,A,,R,5,R,21,R,11,R,10,A,,R,0,R,88,R,4,R,860,R,43,R,600,R,660,R,710,R,610,R,680,R,740,R,23,R,26,R,30,R,23,R,27,R,32,R,20,R,25,R,27
100706,1,3,1,3,3,3,5,1,3,3,3,3,R,7630,R,3805,R,3789,R,21,R,15,R,5232,R,2788,R,2426,R,8,R,10,R,1212,R,763,R,449,R,0,R,0,R,1200,R,759,R,441,A,,R,0,R,12,R,4,R,8,A,,R,0,R,57,R,5,R,680,R,56,R,600,R,650,R,690,R,610,R,660,R,720,R,24,R,28,R,31,R,24,R,28,R,33,R,23,R,26,R,30
100724,1,3,1,3,3,3,5,1,3,1,1,5,R,7229,R,2311,R,4886,S,,S,,R,7052,R,2247,R,4774,S,,S,,R,1056,R,357,R,698,S,,S,,R,1053,R,356,R,696,S,,S,,R,3,R,1,R,2,S,,S,,R,11,R,1,R,356,R,34,R,399,R,452,R,505,R,350,R,406,R,462,R,15,R,18,R,20,R,14,R,18,R,22,R,15,R,17,R,19
100751,1,5,1,1,3,3,5,1,3,5,5,3,R,56795,R,23104,R,33691,A,,R,0,R,43531,R,17506,R,26025,A,,R,0,R,8032,R,3362,R,4670,A,,R,0,R,7973,R,3336,R,4637,A,,R,0,R,59,R,26,R,33,A,,R,0,R,1218,R,15,R,3477,R,43,R,590,R,640,R,690,R,580,R,630,R,710,R,24,R,27,R,31,R,23,R,27,R,33,R,21,R,25,R,29
100830,1,5,1,3,3,3,5,1,3,3,3,3,R,2694,R,1027,R,1665,S,,S,,R,2467,R,940,R,1525,S,,S,,R,364,R,140,R,224,S,,S,,R,346,R,134,R,212,S,,S,,R,18,R,6,R,12,S,,S,,R,20,R,6,R,237,R,65,R,538,R,570,R,603,R,498,R,560,R,600,R,18,R,21,R,24,R,17,R,21,R,24,R,16,R,18,R,23
100858,1,5,1,1,5,3,5,1,3,3,3,3,R,55056,R,22200,R,32856,A,,R,0,R,25284,R,10586,R,14698,A,,R,0,R,6103,R,2822,R,3281,A,,R,0,R,6081,R,2807,R,3274,A,,R,0,R,22,R,15,R,7,A,,R,0,R,925,R,15,R,4553,R,75,R,630,R,660,R,690,R,630,R,660,R,700,R,26,R,29,R,31,R,25,R,29,R,33,R,24,R,26,R,29
101189,1,3,1,3,3,3,5,1,3,3,3,3,R,1073,R,432,R,611,A,,R,30,R,784,R,344,R,440,A,,R,0,R,269,R,139,R,130,A,,R,0,R,232,R,128,R,104,A,,R,0,R,37,R,11,R,26,A,,R,0,R,4,R,2,R,38,R,14,S,,S,,S,,S,,S,,S,,R,18,R,19,R,21,R,15,R,19,R,20,R,16,R,17,R,20
101365,1,3,1,3,3,3,3,1,1,3,3,3,R,89,R,9,R,80,S,,S,,R,83,R,8,R,75,S,,S,,R,58,R,6,R,52,S,,S,,R,10,R,0,R,10,S,,S,,R,48,R,6,R,42,S,,S,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
101435,1,5,1,5,5,5,5,1,3,3,5,5,R,2717,R,1350,R,1363,S,,S,,R,1888,R,944,R,943,S,,S,,R,280,R,163,R,117,S,,S,,R,280,R,163,R,117,S,,S,,R,0,R,0,R,0,S,,S,,R,10,R,4,R,84,R,30,R,533,R,560,R,610,R,473,R,515,R,610,R,20,R,23,R,25,R,18,R,22,R,24,R,18,R,21,R,24
101453,5,5,1,5,1,5,1,1,5,5,1,5,R,10,R,8,R,2,A,,R,0,R,9,R,8,R,1,A,,R,0,R,8,R,7,R,1,A,,R,0,R,5,R,4,R,1,A,,R,0,R,3,R,3,R,0,A,,R,0,R,0,R,0,R,5,R,63,A,,A,,A,,A,,A,,A,,R,18,R,19,R,19,R,16,R,19,R,21,R,16,R,16,R,17
101480,1,3,1,3,3,3,5,1,3,3,3,3,R,11199,R,4115,R,7084,A,,R,0,R,8701,R,3208,R,5493,A,,R,0,R,1737,R,699,R,1038,A,,R,0,R,1722,R,692,R,1030,A,,R,0,R,15,R,7,R,8,A,,R,0,R,97,R,6,R,786,R,45,R,500,R,570,R,630,R,500,R,560,R,660,R,17,R,20,R,24,R,16,R,21,R,25,R,16,R,18,R,22
