UNITID,EFBAGE,LINE,LSTUDY,XEFAGE01,EFAGE01,XEFAGE02,EFAGE02,XEFAGE03,EFAGE03,XEFAGE04,EFAGE04,XEFAGE05,EFAGE05,XEFAGE06,EFAGE06,XEFAGE07,EFAGE07,XEFAGE08,EFAGE08,XEFAGE09,EFAGE09
100654,1,412,1,R,2282,R,3378,R,389,R,565,R,5660,R,954,R,2671,R,3943,R,6614
100654,1,112,2,R,2142,R,3079,R,275,R,349,R,5221,R,624,R,2417,R,3428,R,5845
100654,1,312,5,R,140,R,299,R,114,R,216,R,439,R,330,R,254,R,515,R,769
100654,2,999,1,R,2083,R,3053,R,192,R,270,R,5136,R,462,R,2275,R,3323,R,5598
100654,2,999,2,R,2040,R,2936,R,184,R,234,R,4976,R,418,R,2224,R,3170,R,5394
100654,2,999,5,R,43,R,117,R,8,R,36,R,160,R,44,R,51,R,153,R,204
100654,3,1,1,R,13,R,17,R,15,R,34,R,30,R,49,R,28,R,51,R,79
100654,3,1,2,R,13,R,17,R,15,R,34,R,30,R,49,R,28,R,51,R,79
100654,4,2,1,R,950,R,1423,R,26,R,41,R,2373,R,67,R,976,R,1464,R,2440
100654,4,2,2,R,950,R,1423,R,26,R,41,R,2373,R,67,R,976,R,1464,R,2440
100654,5,3,1,R,621,R,930,R,47,R,52,R,1551,R,99,R,668,R,982,R,1650
100654,5,3,2,R,621,R,925,R,47,R,52,R,1546,R,99,R,668,R,977,R,1645
100654,5,3,5,R,0,R,5,R,0,R,0,R,5,R,0,R,0,R,5,R,5
100654,6,4,1,R,499,R,683,R,104,R,143,R,1182,R,247,R,603,R,826,R,1429
100654,6,4,2,R,456,R,571,R,96,R,107,R,1027,R,203,R,552,R,678,R,1230
100654,6,4,5,R,43,R,112,R,8,R,36,R,155,R,44,R,51,R,148,R,199
100654,7,999,1,R,199,R,318,R,197,R,257,R,517,R,454,R,396,R,575,R,971
100654,7,999,2,R,102,R,140,R,91,R,80,R,242,R,171,R,193,R,220,R,413
100654,7,999,5,R,97,R,178,R,106,R,177,R,275,R,283,R,203,R,355,R,558
100654,8,5,1,R,130,R,190,R,120,R,126,R,320,R,246,R,250,R,316,R,566
100654,8,5,2,R,71,R,89,R,67,R,36,R,160,R,103,R,138,R,125,R,263
100654,8,5,5,R,59,R,101,R,53,R,90,R,160,R,143,R,112,R,191,R,303
100654,9,6,1,R,34,R,57,R,23,R,45,R,91,R,68,R,57,R,102,R,159
100654,9,6,2,R,14,R,18,R,12,R,17,R,32,R,29,R,26,R,35,R,61
100654,9,6,5,R,20,R,39,R,11,R,28,R,59,R,39,R,31,R,67,R,98
100654,10,7,1,R,12,R,27,R,21,R,26,R,39,R,47,R,33,R,53,R,86
100654,10,7,2,R,7,R,13,R,4,R,7,R,20,R,11,R,11,R,20,R,31
100654,10,7,5,R,5,R,14,R,17,R,19,R,19,R,36,R,22,R,33,R,55
100654,11,8,1,R,14,R,31,R,19,R,32,R,45,R,51,R,33,R,63,R,96
100654,11,8,2,R,5,R,12,R,1,R,13,R,17,R,14,R,6,R,25,R,31
100654,11,8,5,R,9,R,19,R,18,R,19,R,28,R,37,R,27,R,38,R,65
100654,12,9,1,R,9,R,13,R,14,R,27,R,22,R,41,R,23,R,40,R,63
100654,12,9,2,R,5,R,8,R,7,R,7,R,13,R,14,R,12,R,15,R,27
100654,12,9,5,R,4,R,5,R,7,R,20,R,9,R,27,R,11,R,25,R,36
100654,13,10,1,R,0,R,0,R,0,R,1,R,0,R,1,R,0,R,1,R,1
100654,13,10,5,R,0,R,0,R,0,R,1,R,0,R,1,R,0,R,1,R,1
100654,14,11,1,R,0,R,7,R,0,R,38,R,7,R,38,R,0,R,45,R,45
100654,14,11,2,R,0,R,3,R,0,R,35,R,3,R,35,R,0,R,38,R,38
100654,14,11,5,R,0,R,4,R,0,R,3,R,4,R,3,R,0,R,7,R,7
100663,1,412,1,R,5616,R,9199,R,2187,R,4158,R,14815,R,6345,R,7803,R,13357,R,21160
100663,1,112,2,R,3641,R,6200,R,989,R,1552,R,9841,R,2541,R,4630,R,7752,R,12382
100663,1,312,5,R,1975,R,2999,R,1198,R,2606,R,4974,R,3804,R,3173,R,5605,R,8778
100663,2,999,1,R,4233,R,7179,R,663,R,1055,R,11412,R,1718,R,4896,R,8234,R,13130
100663,2,999,2,R,3353,R,5841,R,476,R,661,R,9194,R,1137,R,3829,R,6502,R,10331
100663,2,999,5,R,880,R,1338,R,187,R,394,R,2218,R,581,R,1067,R,1732,R,2799
100663,3,1,1,R,22,R,70,R,20,R,57,R,92,R,77,R,42,R,127,R,169
100663,3,1,2,R,22,R,70,R,20,R,57,R,92,R,77,R,42,R,127,R,169
100663,4,2,1,R,1258,R,2562,R,36,R,60,R,3820,R,96,R,1294,R,2622,R,3916
100663,4,2,2,R,1258,R,2561,R,36,R,60,R,3819,R,96,R,1294,R,2621,R,3915
100663,4,2,5,R,0,R,1,R,0,R,0,R,1,R,0,R,0,R,1,R,1
100663,5,3,1,R,1443,R,2543,R,119,R,169,R,3986,R,288,R,1562,R,2712,R,4274
100663,5,3,2,R,1410,R,2493,R,114,R,163,R,3903,R,277,R,1524,R,2656,R,4180
100663,5,3,5,R,33,R,50,R,5,R,6,R,83,R,11,R,38,R,56,R,94
100663,6,4,1,R,1510,R,2004,R,488,R,769,R,3514,R,1257,R,1998,R,2773,R,4771
100663,6,4,2,R,663,R,717,R,306,R,381,R,1380,R,687,R,969,R,1098,R,2067
100663,6,4,5,R,847,R,1287,R,182,R,388,R,2134,R,570,R,1029,R,1675,R,2704
100663,7,999,1,R,1383,R,2020,R,1524,R,3103,R,3403,R,4627,R,2907,R,5123,R,8030
100663,7,999,2,R,288,R,359,R,513,R,891,R,647,R,1404,R,801,R,1250,R,2051
100663,7,999,5,R,1095,R,1661,R,1011,R,2212,R,2756,R,3223,R,2106,R,3873,R,5979
100663,8,5,1,R,904,R,1290,R,552,R,1151,R,2194,R,1703,R,1456,R,2441,R,3897
100663,8,5,2,R,191,R,178,R,196,R,318,R,369,R,514,R,387,R,496,R,883
100663,8,5,5,R,713,R,1112,R,356,R,833,R,1825,R,1189,R,1069,R,1945,R,3014
100663,9,6,1,R,283,R,370,R,316,R,645,R,653,R,961,R,599,R,1015,R,1614
100663,9,6,2,R,55,R,77,R,131,R,188,R,132,R,319,R,186,R,265,R,451
100663,9,6,5,R,228,R,293,R,185,R,457,R,521,R,642,R,413,R,750,R,1163
100663,10,7,1,R,106,R,145,R,242,R,429,R,251,R,671,R,348,R,574,R,922
100663,10,7,2,R,20,R,40,R,72,R,132,R,60,R,204,R,92,R,172,R,264
100663,10,7,5,R,86,R,105,R,170,R,297,R,191,R,467,R,256,R,402,R,658
100663,11,8,1,R,65,R,150,R,274,R,582,R,215,R,856,R,339,R,732,R,1071
100663,11,8,2,R,17,R,45,R,81,R,160,R,62,R,241,R,98,R,205,R,303
100663,11,8,5,R,48,R,105,R,193,R,422,R,153,R,615,R,241,R,527,R,768
100663,12,9,1,R,24,R,62,R,131,R,286,R,86,R,417,R,155,R,348,R,503
100663,12,9,2,R,5,R,19,R,32,R,90,R,24,R,122,R,37,R,109,R,146
100663,12,9,5,R,19,R,43,R,99,R,196,R,62,R,295,R,118,R,239,R,357
100663,13,10,1,R,1,R,3,R,9,R,10,R,4,R,19,R,10,R,13,R,23
100663,13,10,2,R,0,R,0,R,1,R,3,R,0,R,4,R,1,R,3,R,4
100663,13,10,5,R,1,R,3,R,8,R,7,R,4,R,15,R,9,R,10,R,19
100690,1,412,1,R,116,R,145,R,159,R,216,R,261,R,375,R,275,R,361,R,636
100690,1,112,2,R,50,R,79,R,34,R,63,R,129,R,97,R,84,R,142,R,226
100690,1,312,5,R,66,R,66,R,125,R,153,R,132,R,278,R,191,R,219,R,410
100690,2,999,1,R,14,R,13,R,4,R,4,R,27,R,8,R,18,R,17,R,35
100690,2,999,2,R,12,R,12,R,3,R,4,R,24,R,7,R,15,R,16,R,31
100690,2,999,5,R,2,R,1,R,1,Z,0,R,3,R,1,R,3,R,1,R,4
100690,4,2,1,Z,0,R,2,Z,0,Z,0,R,2,Z,0,Z,0,R,2,R,2
100690,4,2,2,Z,0,R,2,Z,0,Z,0,R,2,Z,0,Z,0,R,2,R,2
100690,5,3,1,R,4,R,2,R,2,R,1,R,6,R,3,R,6,R,3,R,9
100690,5,3,2,R,4,R,2,R,2,R,1,R,6,R,3,R,6,R,3,R,9
100690,6,4,1,R,10,R,9,R,2,R,3,R,19,R,5,R,12,R,12,R,24
100690,6,4,2,R,8,R,8,R,1,R,3,R,16,R,4,R,9,R,11,R,20
100690,6,4,5,R,2,R,1,R,1,Z,0,R,3,R,1,R,3,R,1,R,4
100690,7,999,1,R,102,R,132,R,155,R,212,R,234,R,367,R,257,R,344,R,601
100690,7,999,2,R,38,R,67,R,31,R,59,R,105,R,90,R,69,R,126,R,195
100690,7,999,5,R,64,R,65,R,124,R,153,R,129,R,277,R,188,R,218,R,406
100690,8,5,1,R,14,R,24,R,11,R,26,R,38,R,37,R,25,R,50,R,75
100690,8,5,2,R,6,R,14,R,2,R,10,R,20,R,12,R,8,R,24,R,32
100690,8,5,5,R,8,R,10,R,9,R,16,R,18,R,25,R,17,R,26,R,43
100690,9,6,1,R,28,R,31,R,22,R,36,R,59,R,58,R,50,R,67,R,117
100690,9,6,2,R,15,R,16,R,6,R,16,R,31,R,22,R,21,R,32,R,53
100690,9,6,5,R,13,R,15,R,16,R,20,R,28,R,36,R,29,R,35,R,64
100690,10,7,1,R,12,R,23,R,29,R,35,R,35,R,64,R,41,R,58,R,99
100690,10,7,2,R,6,R,12,R,11,R,14,R,18,R,25,R,17,R,26,R,43
100690,10,7,5,R,6,R,11,R,18,R,21,R,17,R,39,R,24,R,32,R,56
100690,11,8,1,R,29,R,27,R,41,R,48,R,56,R,89,R,70,R,75,R,145
100690,11,8,2,R,7,R,15,R,5,R,10,R,22,R,15,R,12,R,25,R,37
100690,11,8,5,R,22,R,12,R,36,R,38,R,34,R,74,R,58,R,50,R,108
100690,12,9,1,R,17,R,26,R,43,R,57,R,43,R,100,R,60,R,83,R,143
100690,12,9,2,R,2,R,9,R,5,R,8,R,11,R,13,R,7,R,17,R,24
100690,12,9,5,R,15,R,17,R,38,R,49,R,32,R,87,R,53,R,66,R,119
100690,13,10,1,R,2,R,1,R,9,R,10,R,3,R,19,R,11,R,11,R,22
100690,13,10,2,R,2,R,1,R,2,R,1,R,3,R,3,R,4,R,2,R,6
100690,13,10,5,Z,0,Z,0,R,7,R,9,Z,0,R,16,R,7,R,9,R,16
100706,1,412,1,R,3825,R,2450,R,1353,R,1115,R,6275,R,2468,R,5178,R,3565,R,8743
100706,1,112,2,R,3474,R,2170,R,682,R,525,R,5644,R,1207,R,4156,R,2695,R,6851
100706,1,312,5,R,351,R,280,R,671,R,590,R,631,R,1261,R,1022,R,870,R,1892
100706,2,999,1,R,3338,R,2058,R,528,R,378,R,5396,R,906,R,3866,R,2436,R,6302
100706,2,999,2,R,3197,R,1953,R,373,R,293,R,5150,R,666,R,3570,R,2246,R,5816
100706,2,999,5,R,141,R,105,R,155,R,85,R,246,R,240,R,296,R,190,R,486
100706,3,1,1,R,34,R,32,R,72,R,75,R,66,R,147,R,106,R,107,R,213
100706,3,1,2,R,34,R,32,R,72,R,75,R,66,R,147,R,106,R,107,R,213
100706,4,2,1,R,1279,R,753,R,31,R,17,R,2032,R,48,R,1310,R,770,R,2080
100706,4,2,2,R,1279,R,753,R,31,R,17,R,2032,R,48,R,1310,R,770,R,2080
100706,5,3,1,R,1312,R,838,R,61,R,55,R,2150,R,116,R,1373,R,893,R,2266
100706,5,3,2,R,1297,R,829,R,57,R,50,R,2126,R,107,R,1354,R,879,R,2233
100706,5,3,5,R,15,R,9,R,4,R,5,R,24,R,9,R,19,R,14,R,33
100706,6,4,1,R,713,R,435,R,364,R,231,R,1148,R,595,R,1077,R,666,R,1743
100706,6,4,2,R,587,R,339,R,213,R,151,R,926,R,364,R,800,R,490,R,1290
100706,6,4,5,R,126,R,96,R,151,R,80,R,222,R,231,R,277,R,176,R,453
100706,7,999,1,R,487,R,392,R,825,R,737,R,879,R,1562,R,1312,R,1129,R,2441
100706,7,999,2,R,277,R,217,R,309,R,232,R,494,R,541,R,586,R,449,R,1035
