UNITID,EFDELEV,XEFDETOT,EFDETOT,XEFDEEXC,EFDEEXC,XEFDESOM,EFDESOM,XEFDENON,EFDENON,XEFDEEX1,EFDEEX1,XEFDEEX2,EFDEEX2,XEFDEEX3,EFDEEX3,XEFDEEX4,EFDEEX4,XEFDEEX5,EFDEEX5
100654,1,R,7295,R,325,R,4821,R,2149,R,219,R,106,R,0,R,0,R,0
100654,2,R,6370,R,257,R,4422,R,1691,R,168,R,89,R,0,R,0,R,0
100654,3,R,6124,R,251,R,4366,R,1507,R,162,R,89,R,0,R,0,R,0
100654,11,R,246,R,6,R,56,R,184,R,6,R,0,R,0,R,0,R,0
100654,12,R,925,R,68,R,399,R,458,R,51,R,17,R,0,R,0,R,0
100663,1,R,20905,R,5802,R,8665,R,6438,R,4231,R,1571,R,0,R,0,R,0
100663,2,R,11959,R,2288,R,6983,R,2688,R,2041,R,247,R,0,R,0,R,0
100663,3,R,11635,R,2169,R,6928,R,2538,R,1929,R,240,R,0,R,0,R,0
100663,11,R,324,R,119,R,55,R,150,R,112,R,7,R,0,R,0,R,0
100663,12,R,8946,R,3514,R,1682,R,3750,R,2190,R,1324,R,0,R,0,R,0
100690,1,R,639,R,639,A,,A,,R,303,R,175,R,0,R,0,R,161
100690,2,R,243,R,243,A,,A,,R,142,R,101,R,0,R,0,R,0
100690,3,R,241,R,241,A,,A,,R,140,R,101,R,0,R,0,R,0
100690,11,R,2,R,2,A,,A,,R,2,R,0,R,0,R,0,R,0
100690,12,R,396,R,396,A,,A,,R,161,R,74,R,0,R,0,R,161
100706,1,R,8564,R,924,R,4322,R,3318,R,760,R,164,R,0,R,0,R,0
100706,2,R,6800,R,440,R,4072,R,2288,R,389,R,51,R,0,R,0,R,0
100706,3,R,6591,R,405,R,4033,R,2153,R,356,R,49,R,0,R,0,R,0
100706,11,R,209,R,35,R,39,R,135,R,33,R,2,R,0,R,0,R,0
100706,12,R,1764,R,484,R,250,R,1030,R,371,R,113,R,0,R,0,R,0
100724,1,R,4081,R,548,R,3080,R,453,R,411,R,125,R,0,R,12,R,0
