UNITID,EFFYALEV,EFFYLEV,LSTUDY,XEYTOTLT,EFYTOTLT,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEFYAIAT,EFYAIANT,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIT,EFYASIAT,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAT,EFYBKAAT,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYHIST,EFYHISPT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYNHPT,EFYNHPIT,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIT,EFYWHITT,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOT,EFY2MORT,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEYUNKNT,EFYUNKNT,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYNRALT,EFYNRALT,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW,XEFYGUUN,EFYGUUN,XEFYGUAN,EFYGUAN,XEFYGUTO,EFYGUTOT,XEFYGUKN,EFYGUKN
100654,1,1,999,R,7120,R,2919,R,4201,R,9,R,5,R,4,R,15,R,4,R,11,R,6038,R,2469,R,3569,R,108,R,42,R,66,R,6,R,2,R,4,R,152,R,67,R,85,R,115,R,44,R,71,R,480,R,166,R,314,R,197,R,120,R,77,R,51,A,,R,51,R,7069
100654,2,2,1,R,6197,R,2602,R,3595,R,8,R,4,R,4,R,14,R,4,R,10,R,5473,R,2286,R,3187,R,105,R,42,R,63,R,6,R,2,R,4,R,119,R,56,R,63,R,115,R,44,R,71,R,238,R,89,R,149,R,119,R,75,R,44,R,39,A,,R,39,R,6158
100654,3,-2,1,R,6043,R,2553,R,3490,R,7,R,3,R,4,R,12,R,3,R,9,R,5448,R,2276,R,3172,R,102,R,41,R,61,R,6,R,2,R,4,R,113,R,52,R,61,R,115,R,44,R,71,R,122,R,58,R,64,R,118,R,74,R,44,A,,A,,A,,A,
100654,4,-2,1,R,2103,R,881,R,1222,R,2,R,2,R,0,R,3,R,1,R,2,R,1915,R,790,R,1125,R,47,R,20,R,27,R,2,R,2,R,0,R,11,R,5,R,6,R,63,R,24,R,39,R,1,R,1,R,0,R,59,R,36,R,23,A,,A,,A,,A,
100654,5,-2,1,R,3940,R,1672,R,2268,R,5,R,1,R,4,R,9,R,2,R,7,R,3533,R,1486,R,2047,R,55,R,21,R,34,R,4,R,0,R,4,R,102,R,47,R,55,R,52,R,20,R,32,R,121,R,57,R,64,R,59,R,38,R,21,A,,A,,A,,A,
100654,11,-2,1,R,154,R,49,R,105,R,1,R,1,Z,0,R,2,R,1,R,1,R,25,R,10,R,15,R,3,R,1,R,2,Z,0,Z,0,Z,0,R,6,R,4,R,2,R,0,R,0,R,0,R,116,R,31,R,85,R,1,R,1,R,0,A,,A,,A,,A,
100654,12,4,3,R,923,R,317,R,606,R,1,R,1,R,0,R,1,R,0,R,1,R,565,R,183,R,382,R,3,R,0,R,3,R,0,R,0,R,0,R,33,R,11,R,22,R,0,R,0,R,0,R,242,R,77,R,165,R,78,R,45,R,33,R,12,A,,R,12,R,911
100654,19,-2,1,R,362,R,178,R,184,R,0,R,0,R,0,R,2,R,0,R,2,R,279,R,141,R,138,R,14,R,5,R,9,R,0,R,0,R,0,R,36,R,16,R,20,R,13,R,6,R,7,R,0,R,0,R,0,R,18,R,10,R,8,A,,A,,A,,A,
100654,20,-2,1,R,3578,R,1494,R,2084,R,5,R,1,R,4,R,7,R,2,R,5,R,3254,R,1345,R,1909,R,41,R,16,R,25,R,4,R,0,R,4,R,66,R,31,R,35,R,39,R,14,R,25,R,121,R,57,R,64,R,41,R,28,R,13,A,,A,,A,,A,
100654,21,-2,999,R,5914,R,2414,R,3500,R,7,R,3,R,4,R,10,R,2,R,8,R,5170,R,2096,R,3074,R,91,R,36,R,55,R,6,R,2,R,4,R,113,R,44,R,69,R,100,R,36,R,64,R,241,R,87,R,154,R,176,R,108,R,68,A,,A,,A,,A,
100654,22,-2,1,R,5406,R,2242,R,3164,R,7,R,3,R,4,R,10,R,2,R,8,R,4876,R,1997,R,2879,R,89,R,36,R,53,R,6,R,2,R,4,R,97,R,43,R,54,R,100,R,36,R,64,R,106,R,51,R,55,R,115,R,72,R,43,A,,A,,A,,A,
100654,23,-2,1,R,5404,R,2242,R,3162,R,7,R,3,R,4,R,10,R,2,R,8,R,4874,R,1997,R,2877,R,89,R,36,R,53,R,6,R,2,R,4,R,97,R,43,R,54,R,100,R,36,R,64,R,106,R,51,R,55,R,115,R,72,R,43,A,,A,,A,,A,
100654,24,-2,1,R,2047,R,848,R,1199,R,2,R,2,R,0,R,2,R,0,R,2,R,1865,R,759,R,1106,R,45,R,20,R,25,R,2,R,2,R,0,R,9,R,5,R,4,R,62,R,23,R,39,R,1,R,1,R,0,R,59,R,36,R,23,A,,A,,A,,A,
100654,25,-2,1,R,3357,R,1394,R,1963,R,5,R,1,R,4,R,8,R,2,R,6,R,3009,R,1238,R,1771,R,44,R,16,R,28,R,4,R,0,R,4,R,88,R,38,R,50,R,38,R,13,R,25,R,105,R,50,R,55,R,56,R,36,R,20,A,,A,,A,,A,
100654,31,-2,1,R,2,Z,0,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,2,Z,0,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,A,,A,,A,,A,
100654,32,-2,3,R,508,R,172,R,336,R,0,R,0,Z,0,R,0,R,0,R,0,R,294,R,99,R,195,R,2,Z,0,R,2,R,0,Z,0,R,0,R,16,R,1,R,15,R,0,Z,0,R,0,R,135,R,36,R,99,R,61,R,36,R,25,A,,A,,A,,A,
100654,39,-2,1,R,297,R,146,R,151,R,0,R,0,R,0,R,2,R,0,R,2,R,226,R,114,R,112,R,12,R,5,R,7,R,0,R,0,R,0,R,35,R,15,R,20,R,7,R,4,R,3,R,0,R,0,R,0,R,15,R,8,R,7,A,,A,,A,,A,
100654,40,-2,1,R,3060,R,1248,R,1812,R,5,R,1,R,4,R,6,R,2,R,4,R,2783,R,1124,R,1659,R,32,R,11,R,21,R,4,R,0,R,4,R,53,R,23,R,30,R,31,R,9,R,22,R,105,R,50,R,55,R,41,R,28,R,13,A,,A,,A,,A,
100654,41,-2,999,R,1206,R,505,R,701,R,2,R,2,R,0,R,5,R,2,R,3,R,868,R,373,R,495,R,17,R,6,R,11,R,0,R,0,R,0,R,39,R,23,R,16,R,15,R,8,R,7,R,239,R,79,R,160,R,21,R,12,R,9,A,,A,,A,,A,
100654,42,-2,1,R,791,R,360,R,431,R,1,R,1,R,0,R,4,R,2,R,2,R,597,R,289,R,308,R,16,R,6,R,10,R,0,R,0,R,0,R,22,R,13,R,9,R,15,R,8,R,7,R,132,R,38,R,94,R,4,R,3,R,1,A,,A,,A,,A,
100654,43,-2,1,R,639,R,311,R,328,R,0,R,0,R,0,R,2,R,1,R,1,R,574,R,279,R,295,R,13,R,5,R,8,R,0,R,0,R,0,R,16,R,9,R,7,R,15,R,8,R,7,R,16,R,7,R,9,R,3,R,2,R,1,A,,A,,A,,A,
100654,44,-2,1,R,56,R,33,R,23,Z,0,Z,0,Z,0,R,1,R,1,R,0,R,50,R,31,R,19,R,2,Z,0,R,2,Z,0,Z,0,Z,0,R,2,R,0,R,2,R,1,R,1,R,0,R,0,R,0,R,0,R,0,Z,0,R,0,A,,A,,A,,A,
100654,45,-2,1,R,583,R,278,R,305,R,0,R,0,R,0,R,1,R,0,R,1,R,524,R,248,R,276,R,11,R,5,R,6,R,0,R,0,R,0,R,14,R,9,R,5,R,14,R,7,R,7,R,16,R,7,R,9,R,3,R,2,R,1,A,,A,,A,,A,
100654,51,-2,1,R,152,R,49,R,103,R,1,R,1,Z,0,R,2,R,1,R,1,R,23,R,10,R,13,R,3,R,1,R,2,Z,0,Z,0,Z,0,R,6,R,4,R,2,R,0,R,0,R,0,R,116,R,31,R,85,R,1,R,1,R,0,A,,A,,A,,A,
100654,52,-2,3,R,415,R,145,R,270,R,1,R,1,R,0,R,1,R,0,R,1,R,271,R,84,R,187,R,1,R,0,R,1,R,0,R,0,R,0,R,17,R,10,R,7,R,0,R,0,R,0,R,107,R,41,R,66,R,17,R,9,R,8,A,,A,,A,,A,
100654,59,-2,1,R,65,R,32,R,33,Z,0,Z,0,Z,0,R,0,R,0,R,0,R,53,R,27,R,26,R,2,Z,0,R,2,Z,0,Z,0,Z,0,R,1,R,1,R,0,R,6,R,2,R,4,R,0,R,0,R,0,R,3,R,2,R,1,A,,A,,A,,A,
100654,60,-2,1,R,518,R,246,R,272,R,0,R,0,R,0,R,1,R,0,R,1,R,471,R,221,R,250,R,9,R,5,R,4,R,0,R,0,R,0,R,13,R,8,R,5,R,8,R,5,R,3,R,16,R,7,R,9,R,0,Z,0,R,0,A,,A,,A,,A,
100663,1,1,999,R,24893,R,9388,R,15505,R,41,R,16,R,25,R,1804,R,684,R,1120,R,5518,R,1596,R,3922,R,1464,R,529,R,935,R,12,R,6,R,6,R,12196,R,4663,R,7533,R,1010,R,372,R,638,R,670,R,209,R,461,R,2178,R,1313,R,865,R,284,A,,R,284,R,24609
100663,2,2,1,R,14093,R,5322,R,8771,R,25,R,12,R,13,R,1174,R,451,R,723,R,3874,R,1206,R,2668,R,1053,R,380,R,673,R,9,R,4,R,5,R,6775,R,2770,R,4005,R,716,R,263,R,453,R,85,R,30,R,55,R,382,R,206,R,176,R,9,A,,R,9,R,14084
100663,3,-2,1,R,13430,R,5060,R,8370,R,24,R,12,R,12,R,1142,R,437,R,705,R,3694,R,1157,R,2537,R,1025,R,373,R,652,R,9,R,4,R,5,R,6473,R,2650,R,3823,R,692,R,258,R,434,R,83,R,29,R,54,R,288,R,140,R,148,A,,A,,A,,A,
100663,4,-2,1,R,2168,R,733,R,1435,R,4,R,1,R,3,R,274,R,99,R,175,R,685,R,200,R,485,R,170,R,60,R,110,R,1,R,1,R,0,R,855,R,305,R,550,R,116,R,45,R,71,R,19,R,7,R,12,R,44,R,15,R,29,A,,A,,A,,A,
100663,5,-2,1,R,11262,R,4327,R,6935,R,20,R,11,R,9,R,868,R,338,R,530,R,3009,R,957,R,2052,R,855,R,313,R,542,R,8,R,3,R,5,R,5618,R,2345,R,3273,R,576,R,213,R,363,R,64,R,22,R,42,R,244,R,125,R,119,A,,A,,A,,A,
