UNITID,EFFYDLEV,XEYDETOT,EFYDETOT,XEYDEEXC,EFYDEEXC,XEYDESOM,EFYDESOM,XEYDENON,EFYDENON
100654,1,R,7120,R,404,R,4396,R,2320
100654,2,R,6197,R,261,R,3957,R,1979
100654,3,R,6043,R,254,R,3949,R,1840
100654,11,R,154,R,7,R,8,R,139
100654,12,R,923,R,143,R,439,R,341
100663,1,R,24893,R,7419,R,12491,R,4983
100663,2,R,14093,R,2990,R,9655,R,1448
100663,3,R,13430,R,2664,R,9510,R,1256
100663,11,R,663,R,326,R,145,R,192
100663,12,R,10800,R,4429,R,2836,R,3535
100690,1,R,861,R,861,A,,A,
100690,2,R,337,R,337,A,,A,
100690,3,R,334,R,334,A,,A,
100690,11,R,3,R,3,A,,A,
100690,12,R,524,R,524,A,,A,
100706,1,R,9916,R,1319,R,6123,R,2474
100706,2,R,7625,R,621,R,5419,R,1585
100706,3,R,7278,R,521,R,5351,R,1406
100706,11,R,347,R,100,R,68,R,179
100706,12,R,2291,R,698,R,704,R,889
100724,1,R,4308,R,523,R,2509,R,1276
100724,2,R,3641,R,189,R,2357,R,1095
100724,3,R,3603,R,189,R,2357,R,1057
100724,11,R,38,R,0,R,0,R,38
100724,12,R,667,R,334,R,152,R,181
100751,1,R,43627,R,8232,R,19825,R,15570
100751,2,R,36359,R,5018,R,18524,R,12817
100751,3,R,34392,R,3374,R,18433,R,12585
100751,11,R,1967,R,1644,R,91,R,232
100751,12,R,7268,R,3214,R,1301,R,2753
100760,1,R,2737,R,816,R,1271,R,650
100760,2,R,2737,R,816,R,1271,R,650
100760,3,R,1505,R,365,R,920,R,220
100760,11,R,1232,R,451,R,351,R,430
100812,1,R,3925,R,2647,R,1073,R,205
100812,2,R,3361,R,2111,R,1056,R,194
100812,3,R,3086,R,1893,R,1014,R,179
100812,11,R,275,R,218,R,42,R,15
100812,12,R,564,R,536,R,17,R,11
100830,1,R,6526,R,1252,R,3452,R,1822
100830,2,R,4200,R,722,R,2359,R,1119
100830,3,R,3265,R,179,R,2210,R,876
100830,11,R,935,R,543,R,149,R,243
100830,12,R,2326,R,530,R,1093,R,703
100858,1,R,37008,R,5517,R,11982,R,19509
100858,2,R,29801,R,3145,R,10989,R,15667
100858,3,R,27356,R,985,R,10974,R,15397
100858,11,R,2445,R,2160,R,15,R,270
100858,12,R,7207,R,2372,R,993,R,3842
101028,1,R,2337,R,371,R,916,R,1050
101028,2,R,2337,R,371,R,916,R,1050
101028,3,R,1446,R,264,R,752,R,430
101028,11,R,891,R,107,R,164,R,620
101116,1,R,563,R,251,R,178,R,134
101116,2,R,528,R,218,R,177,R,133
101116,3,R,526,R,216,R,177,R,133
101116,11,R,2,R,2,Z,0,R,0
101116,12,R,35,R,33,R,1,R,1
101143,1,R,3096,R,861,R,1128,R,1107
101143,2,R,3096,R,861,R,1128,R,1107
101143,3,R,1941,R,437,R,845,R,659
101143,11,R,1155,R,424,R,283,R,448
101161,1,R,9200,R,2845,R,3277,R,3078
101161,2,R,9200,R,2845,R,3277,R,3078
101161,3,R,6192,R,1531,R,2952,R,1709
101161,11,R,3008,R,1314,R,325,R,1369
101189,1,R,3688,R,1817,R,962,R,909
101189,2,R,2234,R,1019,R,560,R,655
101189,3,R,1960,R,1013,R,542,R,405
101189,11,R,274,R,6,R,18,R,250
101189,12,R,1454,R,798,R,402,R,254
101240,1,R,6385,R,1559,R,2754,R,2072
101240,2,R,6385,R,1559,R,2754,R,2072
101240,3,R,4674,R,962,R,2519,R,1193
101240,11,R,1711,R,597,R,235,R,879
101277,1,R,54,A,,A,,R,54
101277,2,R,54,A,,A,,R,54
101277,3,R,54,A,,A,,R,54
101286,1,R,5511,R,1044,R,2085,R,2382
101286,2,R,5511,R,1044,R,2085,R,2382
101286,3,R,4102,R,764,R,1804,R,1534
101286,11,R,1409,R,280,R,281,R,848
101295,1,R,8238,R,1789,R,3182,R,3267
101295,2,R,8238,R,1789,R,3182,R,3267
101295,3,R,5745,R,1361,R,2852,R,1532
101295,11,R,2493,R,428,R,330,R,1735
101301,1,R,2782,R,1208,R,809,R,765
101301,2,R,2782,R,1208,R,809,R,765
101301,3,R,1258,R,450,R,462,R,346
101301,11,R,1524,R,758,R,347,R,419
101365,1,R,892,R,377,R,200,R,315
101365,2,R,887,R,372,R,200,R,315
101365,3,R,887,R,372,R,200,R,315
101365,12,R,5,R,5,R,0,R,0
101435,1,R,902,R,0,R,345,R,557
101435,2,R,893,R,0,R,345,R,548
101435,3,R,889,R,0,R,342,R,547
101435,11,R,4,R,0,R,3,R,1
101435,12,R,9,A,,A,,R,9
101453,1,R,191,R,160,R,27,R,4
101453,2,R,88,R,65,R,19,R,4
101453,3,R,76,R,57,R,16,R,3
101453,11,R,12,R,8,R,3,R,1
101453,12,R,103,R,95,R,8,R,0
101462,1,R,1524,R,193,R,760,R,571
101462,2,R,1524,R,193,R,760,R,571
101462,3,R,1093,R,134,R,709,R,250
101462,11,R,431,R,59,R,51,R,321
101471,1,R,1726,A,,A,,R,1726
101471,2,R,1726,A,,A,,R,1726
101471,3,R,1726,A,,A,,R,1726
101480,1,R,11369,R,2735,R,6696,R,1938
101480,2,R,9705,R,1598,R,6254,R,1853
101480,3,R,7830,R,883,R,5912,R,1035
101480,11,R,1875,R,715,R,342,R,818
101480,12,R,1664,R,1137,R,442,R,85
101505,1,R,12720,R,5394,R,3657,R,3669
101505,2,R,12720,R,5394,R,3657,R,3669
101505,3,R,7312,R,2751,R,3081,R,1480
101505,11,R,5408,R,2643,R,576,R,2189
