UNITID,XSCUGRAD,SCUGRAD,XSCUGDGSK,SCUGDGSK,XSCUGNDGS,SCUGNDGS,XSCUGFFN,SCUGFFN,XSCUGFFP,SCUGFFP,XSCFA2,SCFA2,XSCFA2DG,SCFA2DG,XSCFA2ND,SCFA2ND,XSCFA1N,SCFA1N,XSCFA1P,SCFA1P,XSCFY2,SCFY2,XSCFY2DG,SCFY2DG,XSCFY2ND,SCFY2ND,XSCFY1N,SCFY1N,XSCFY1P,SCFY1P,XUAGRNTN,UAGRNTN,XUAGRNTP,UAGRNTP,XUAGRNTT,UAGRNTT,XUAGRNTA,UAGRNTA,XUDGAGRNTN,UDGAGRNTN,XUDGAGRNTP,UDGAGRNTP,XUDGAGRNTT,UDGAGRNTT,XUDGAGRNTA,UDGAGRNTA,XUNDAGRNTN,UNDAGRNTN,XUNDAGRNTP,UNDAGRNTP,XUNDAGRNTT,UNDAGRNTT,XUNDAGRNTA,UNDAGRNTA,XUPGRNTN,UPGRNTN,XUPGRNTP,UPGRNTP,XUPGRNTT,UPGRNTT,XUPGRNTA,UPGRNTA,XUDGPGRNTN,UDGPGRNTN,XUDGPGRNTP,UDGPGRNTP,XUDGPGRNTT,UDGPGRNTT,XUDGPGRNTA,UDGPGRNTA,XUNDPGRNTN,UNDPGRNTN,XUNDPGRNTP,UNDPGRNTP,XUNDPGRNTT,UNDPGRNTT,XUNDPGRNTA,UNDPGRNTA,XUFLOANN,UFLOANN,XUFLOANP,UFLOANP,XUFLOANT,UFLOANT,XUFLOANA,UFLOANA,XUDGFLOANN,UDGFLOANN,XUDGFLOANP,UDGFLOANP,XUDGFLOANT,UDGFLOANT,XUDGFLOANA,UDGFLOANA,XUNDFLOANN,UNDFLOANN,XUNDFLOANP,UNDFLOANP,XUNDFLOANT,UNDFLOANT,XUNDFLOANA,UNDFLOANA,XANYAIDN,ANYAIDN,XANYAIDP,ANYAIDP,XAIDFSIN,AIDFSIN,XAIDFSIP,AIDFSIP,XAGRNT_N,AGRNT_N,XAGRNT_P,AGRNT_P,XAGRNT_T,AGRNT_T,XAGRNT_A,AGRNT_A,XFGRNT_N,FGRNT_N,XFGRNT_P,FGRNT_P,XFGRNT_T,FGRNT_T,XFGRNT_A,FGRNT_A,XPGRNT_N,PGRNT_N,XPGRNT_P,PGRNT_P,XPGRNT_T,PGRNT_T,XPGRNT_A,PGRNT_A,XOFGRT_N,OFGRT_N,XOFGRT_P,OFGRT_P,XOFGRT_T,OFGRT_T,XOFGRT_A,OFGRT_A,XSGRNT_N,SGRNT_N,XSGRNT_P,SGRNT_P,XSGRNT_T,SGRNT_T,XSGRNT_A,SGRNT_A,XIGRNT_N,IGRNT_N,XIGRNT_P,IGRNT_P,XIGRNT_T,IGRNT_T,XIGRNT_A,IGRNT_A,XLOAN_N,LOAN_N,XLOAN_P,LOAN_P,XLOAN_T,LOAN_T,XLOAN_A,LOAN_A,XFLOAN_N,FLOAN_N,XFLOAN_P,FLOAN_P,XFLOAN_T,FLOAN_T,XFLOAN_A,FLOAN_A,XOLOAN_N,OLOAN_N,XOLOAN_P,OLOAN_P,XOLOAN_T,OLOAN_T,XOLOAN_A,OLOAN_A
100654,R,5845,R,5726,R,119,R,1976,R,34,R,5845,R,5726,R,119,R,1976,R,34,A,,A,,A,,A,,A,,R,4660,R,80,R,58226923,R,12495,R,4660,R,81,R,58226923,R,12495,R,0,R,0,R,0,A,,R,3681,R,63,R,23657349,R,6427,R,3681,R,64,R,23657349,R,6427,R,0,R,0,R,0,A,,R,4357,R,75,R,30301705,R,6955,R,4357,R,76,R,30301705,R,6955,R,0,R,0,R,0,A,,R,1769,R,90,R,1769,R,90,R,1698,R,86,R,21809164,R,12844,R,1332,R,67,R,9021849,R,6773,R,1328,R,67,R,8756692,R,6594,R,123,R,6,R,265157,R,2156,R,66,R,3,R,112137,R,1699,R,1330,R,67,R,12675178,R,9530,R,1503,R,76,R,10345864,R,6883,R,1493,R,76,R,9292472,R,6224,R,108,R,5,R,1053392,R,9754
100663,R,12382,R,12118,R,264,R,2057,R,17,R,12382,R,12118,R,264,R,2057,R,17,A,,A,,A,,A,,A,,R,9053,R,73,R,99134399,R,10950,R,8984,R,74,R,98852872,R,11003,R,69,R,26,R,281527,R,4080,R,4212,R,34,R,28795701,R,6837,R,4211,R,35,R,28789156,R,6837,R,1,R,0,R,6545,R,6545,R,4986,R,40,R,33869505,R,6793,R,4985,R,41,R,33857005,R,6792,R,1,R,0,R,12500,R,12500,R,1946,R,95,R,1930,R,94,R,1851,R,90,R,20406393,R,11025,R,870,R,42,R,6129537,R,7045,R,870,R,42,R,5977015,R,6870,R,114,R,6,R,152522,R,1338,R,5,R,0,R,4600,R,920,R,1563,R,76,R,14272256,R,9131,R,1063,R,52,R,7172314,R,6747,R,1053,R,51,R,5420768,R,5148,R,126,R,6,R,1751546,R,13901
100690,R,226,R,226,R,0,R,0,R,0,R,226,R,226,R,0,R,0,R,0,A,,A,,A,,A,,A,,R,193,R,85,R,649689,R,3366,R,193,R,85,R,649689,R,3366,R,0,Z,0,R,0,A,,R,173,R,77,R,355303,R,2054,R,173,R,77,R,355303,R,2054,R,0,Z,0,R,0,A,,R,183,R,81,R,711029,R,3885,R,183,R,81,R,711029,R,3885,R,0,Z,0,R,0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
100706,R,6851,R,6651,R,200,R,1162,R,17,R,6851,R,6651,R,200,R,1162,R,17,A,,A,,A,,A,,A,,R,4800,R,70,R,44189199,R,9206,R,4647,R,70,R,43561361,R,9374,R,153,R,77,R,627838,R,4104,R,1688,R,25,R,8850009,R,5243,R,1688,R,25,R,8850009,R,5243,R,0,R,0,R,0,A,,R,2230,R,33,R,14358304,R,6439,R,2230,R,34,R,14358304,R,6439,R,0,R,0,R,0,A,,R,1127,R,97,R,1120,R,96,R,1107,R,95,R,10259147,R,9268,R,298,R,26,R,1797955,R,6033,R,298,R,26,R,1640705,R,5506,R,83,R,7,R,157250,R,1895,R,13,R,1,R,43371,R,3336,R,1062,R,91,R,8417821,R,7926,R,427,R,37,R,3274259,R,7668,R,413,R,36,R,2140419,R,5183,R,81,R,7,R,1133840,R,13998
100724,R,3322,R,3322,R,0,R,909,R,27,R,3322,R,3322,R,0,R,909,R,27,A,,A,,A,,A,,A,,R,3178,R,96,R,33589837,R,10569,R,3178,R,96,R,33589837,R,10569,R,0,Z,0,R,0,A,,R,2370,R,71,R,12887649,R,5438,R,2370,R,71,R,12887649,R,5438,R,0,Z,0,R,0,A,,R,2465,R,74,R,20243168,R,8212,R,2465,R,74,R,20243168,R,8212,R,0,Z,0,R,0,A,,R,792,R,87,R,792,R,87,R,792,R,87,R,9173803,R,11583,R,597,R,66,R,4047469,R,6780,R,596,R,66,R,3842505,R,6447,R,219,R,24,R,204964,R,936,R,135,R,15,R,238834,R,1769,R,521,R,57,R,4887500,R,9381,R,499,R,55,R,3427925,R,6870,R,494,R,54,R,3095243,R,6266,R,28,R,3,R,332682,R,11882
100751,R,33435,R,32323,R,1112,R,8215,R,25,R,33435,R,32323,R,1112,R,8215,R,25,A,,A,,A,,A,,A,,R,22976,R,69,R,365882652,R,15925,R,22604,R,70,R,365318554,R,16162,R,372,R,33,R,564098,R,1516,R,6151,R,18,R,34704209,R,5642,R,6140,R,19,R,34641954,R,5642,R,11,R,1,R,62255,R,5660,R,10829,R,32,R,68195484,R,6297,R,10828,R,33,R,68190041,R,6298,R,1,R,0,R,5443,R,5443,R,7252,R,88,R,7185,R,87,R,6566,R,80,R,114927794,R,17503,R,1665,R,20,R,9968195,R,5987,R,1661,R,20,R,9625783,R,5795,R,206,R,3,R,342412,R,1662,R,248,R,3,R,212089,R,855,R,6222,R,76,R,104747510,R,16835,R,3039,R,37,R,35036659,R,11529,R,2841,R,35,R,15015450,R,5285,R,729,R,9,R,20021209,R,27464
100760,R,1910,R,1134,R,776,R,274,R,14,R,1910,R,1134,R,776,R,274,R,14,A,,A,,A,,A,,A,,R,1388,R,73,R,5245444,R,3779,R,782,R,69,R,4357773,R,5573,R,606,R,78,R,887671,R,1465,R,608,R,32,R,2828198,R,4652,R,607,R,54,R,2826349,R,4656,R,1,R,0,R,1849,R,1849,R,324,R,17,R,1211951,R,3741,R,324,R,29,R,1211951,R,3741,R,0,R,0,R,0,A,,R,252,R,92,R,246,R,90,R,224,R,82,R,1559213,R,6961,R,169,R,62,R,1028305,R,6085,R,168,R,61,R,1011091,R,6018,R,40,R,15,R,17214,R,430,R,19,R,7,R,23027,R,1212,R,91,R,33,R,507881,R,5581,R,74,R,27,R,247775,R,3348,R,74,R,27,R,247775,R,3348,R,0,R,0,R,0,A,
100812,R,2531,R,2407,R,124,R,0,R,0,R,2531,R,2407,R,124,R,0,R,0,A,,A,,A,,A,,A,,R,1480,R,58,R,9139543,R,6175,R,1434,R,60,R,9077225,R,6330,R,46,R,37,R,62318,R,1355,R,1076,R,43,R,6864303,R,6379,R,1076,R,45,R,6864303,R,6379,R,0,R,0,R,0,A,,R,1034,R,41,R,8275329,R,8003,R,1027,R,43,R,8216901,R,8001,R,7,R,6,R,58428,R,8347,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
100830,R,3407,R,2691,R,716,R,408,R,12,R,3407,R,2691,R,716,R,408,R,12,A,,A,,A,,A,,A,,R,2435,R,71,R,19827520,R,8143,R,2125,R,79,R,18178553,R,8555,R,310,R,43,R,1648967,R,5319,R,1443,R,42,R,8721442,R,6044,R,1236,R,46,R,7528186,R,6091,R,207,R,29,R,1193256,R,5765,R,1447,R,42,R,10096463,R,6978,R,1252,R,47,R,8893139,R,7103,R,195,R,27,R,1203324,R,6171,R,398,R,98,R,397,R,97,R,397,R,97,R,3092560,R,7790,R,210,R,51,R,1338344,R,6373,R,210,R,51,R,1313944,R,6257,R,42,R,10,R,24400,R,581,R,36,R,9,R,28800,R,800,R,392,R,96,R,1725416,R,4402,R,177,R,43,R,921047,R,5204,R,177,R,43,R,921047,R,5204,R,0,R,0,R,0,A,
100858,R,26874,R,25732,R,1142,R,5916,R,22,R,26874,R,25732,R,1142,R,5916,R,22,A,,A,,A,,A,,A,,R,16842,R,63,R,183921896,R,10920,R,16567,R,64,R,182737468,R,11030,R,275,R,24,R,1184428,R,4307,R,3367,R,13,R,18901196,R,5614,R,3359,R,13,R,18843786,R,5610,R,8,R,1,R,57410,R,7176,R,7029,R,26,R,43903513,R,6246,R,7026,R,27,R,43893862,R,6247,R,3,R,0,R,9651,R,3217,R,5053,R,85,R,5026,R,85,R,4737,R,80,R,51498670,R,10872,R,687,R,12,R,4177255,R,6080,R,683,R,12,R,3917437,R,5736,R,258,R,4,R,259818,R,1007,R,228,R,4,R,1243796,R,5455,R,4631,R,78,R,46077619,R,9950,R,1697,R,29,R,16464733,R,9702,R,1602,R,27,R,8395237,R,5240,R,323,R,5,R,8069496,R,24983
