sch_zip,valid_cbsa,valid_cbsatype
01561,49340,1
02116,14460,1
02720,39300,1
02747,39300,1
02840,39300,1
04401,12620,1
06854,14860,1
07738,35620,1
08068,37980,1
08080,37980,1
08648,45940,1
08902,35620,1
10022,35620,1
10023,35620,1
10468,35620,1
10591,35620,1
11101,35620,1
11201,35620,1
11204,35620,1
11214,35620,1
11375,35620,1
11725,35620,1
12208,10580,1
14127,15380,1
14201,15380,1
14744,-2,-2
15214,38300,1
15905,27780,1
16506,21500,1
17402,49620,1
18301,20700,2
19047,37980,1
19085,37980,1
19087,37980,1
19107,37980,1
19130,37980,1
19136,37980,1
19947,42580,2
20017,47900,1
21202,12580,1
21502,19060,1
22003,47900,1
22030,47900,1
23005,40060,1
23464,47260,1
23502,47260,1
26101,37620,1
26301,17220,2
26554,21900,2
27533,24140,1
27603,39580,1
27707,20500,1
27858,24780,1
27909,21020,2
28152,43140,2
28160,22580,2
28303,22180,1
28360,31300,2
28677,44380,2
28779,-2,-2
29301,43900,1
29902,25940,2
30204,12060,1
30316,12060,1
31404,42340,1
31405,42340,1
32025,29380,2
32578,23020,1
32773,36740,1
32935,37340,1
33169,33100,1
33612,45300,1
34654,45300,1
34744,36740,1
35209,13820,1
35405,46220,1
36401,-2,-2
36608,33660,1
37064,34980,1
37211,34980,1
37212,34980,1
37303,11940,2
37404,16860,1
38668,32820,1
39401,25620,1
40422,19220,2
40769,18340,2
43081,18140,1
43209,18140,1
43420,23380,2
44118,17460,1
44130,17460,1
44312,10420,1
44805,11740,2
45042,17140,1
45224,17140,1
45459,19380,1
45662,39020,2
46227,26900,1
46805,23060,1
46825,23060,1
47130,31140,1
48309,19820,1
48653,-2,-2
49104,35660,1
49503,24340,1
49509,24340,1
50125,19780,1
53144,16980,1
53217,33340,1
53220,33340,1
53711,31540,1
54220,31820,2
54601,29100,1
55104,33460,1
55112,33460,1
55120,33460,1
55812,20260,1
57301,33580,2
59101,13740,1
59701,15580,2
60064,16980,1
60126,16980,1
60137,16980,1
60171,16980,1
60411,16980,1
60463,16980,1
60465,16980,1
60473,16980,1
60625,16980,1
60637,16980,1
60652,16980,1
60655,16980,1
60804,16980,1
61938,16660,2
62707,44100,1
63119,41180,1
65775,48460,2
65807,44180,1
66062,28140,1
66102,28140,1
66502,31740,2
67301,17700,2
67337,17700,2
67801,19980,2
68506,30700,1
70001,35380,1
70122,35380,1
70125,35380,1
70582,29180,1
70806,12940,1
70816,12940,1
71111,43340,1
71282,45260,2
72335,22620,2
72450,37500,2
72701,22220,1
73505,30020,1
75227,19100,1
75229,19100,1
78040,29700,1
78155,41700,1
78212,41700,1
78251,41700,1
78550,15180,1
78704,12420,1
79336,30220,2
79915,21340,1
80226,19740,1
84770,41100,1
85204,38060,1
86401,29420,1
87110,10740,1
90033,31100,1
90630,31100,1
90703,31100,1
91702,31100,1
92506,40140,1
93277,47300,1
93291,47300,1
93536,31100,1
93703,23420,1
93704,23420,1
93955,41500,1
94112,41860,1
94122,41860,1
94132,41860,1
94402,41860,1
94501,41860,1
95350,33700,1
96720,25900,2
96816,26180,1
96817,26180,1
96822,26180,1
97701,13460,1
98133,42660,1
98168,42660,1
98198,42660,1
99004,44060,1
99301,28420,1
