zips,cbsa,cbsa_type
36112,33860,1
35762,26620,1
35294,13820,1
36117,33860,1
35899,26620,1
36101,33860,1
35487,13820,1
35010,10760,2
35611,26620,1
36849,12220,1
35254,13820,1
36869,17980,1
36701,42820,2
36116,33860,1
36330,21460,2
36507,19300,2
36109,33860,1
35902,23460,1
36303,21460,2
35077,18980,2
36703,42820,2
35209,13820,1
36106,33860,1
35630,22520,1
35811,26620,1
36022,33860,1
36265,11500,1
36426,-2,-2
35215,13820,1
35671,26620,1
36756,-2,-2
35221,13820,1
35470,-2,-2
36420,-2,-2
35064,13820,1
36663,33660,1
35115,13820,1
35661,22520,1
35632,22520,1
35986,22840,2
35896,26620,1
36460,-2,-2
36401,-2,-2
36603,33660,1
35229,13820,1
35405,46220,1
35957,10700,2
36688,33660,1
36608,33660,1
35244,13820,1
35403,46220,1
35160,45180,2
36108,33860,1
36082,45980,2
36088,46260,2
36526,19300,2
35148,13820,1
99508,11260,1
99775,21820,1
99801,27940,2
99686,-2,-2
99835,-2,-2
85021,38060,1
85281,38060,1
85301,38060,1
85019,38060,1
85287,38060,1
85365,49740,1
85721,46060,1
85716,46060,1
85228,38060,1
85712,46060,1
85607,43420,2
85552,40940,2
85302,38060,1
85017,38060,1
85014,38060,1
85029,38060,1
85034,38060,1
85202,38060,1
85704,46060,1
85282,38060,1
86401,29420,1
86556,-2,-2
86011,22380,1
86025,-2,-2
85013,38060,1
85040,38060,1
85709,46060,1
86301,39140,1
85256,38060,1
85032,38060,1
85323,38060,1
72204,30780,1
72205,30780,1
72202,30780,1
72501,12900,2
72701,22220,1
71601,38220,1
72012,42620,2
72467,27860,1
72801,40780,2
71656,-2,-2
72455,37500,2
72035,30780,1
72034,30780,1
71832,-2,-2
72450,37500,2
72335,22620,2
71913,26300,1
72503,12900,2
72143,42620,2
71999,11660,2
72032,30780,1
72761,22220,1
72301,32820,1
72316,14180,2
72601,25460,2
71998,11660,2
72104,-2,-2
72556,-2,-2
72830,-2,-2
72110,-2,-2
72342,48340,2
71603,38220,1
72118,30780,1
71802,26260,2
71953,-2,-2
72476,-2,-2
71731,20980,2
71753,31620,2
71701,15780,2
72913,22900,1
94105,41860,1
95670,40900,1
94501,41860,1
93454,42060,1
90028,31100,1
90066,31100,1
95841,40900,1
93536,31100,1
91103,31100,1
91702,31100,1
93305,12540,1
92311,40140,1
95066,42100,1
92801,31100,1
90639,31100,1
90804,31100,1
93103,42060,1
95965,17020,1
94103,12540,1
95003,42100,1
92504,40140,1
94618,41860,1
91125,31100,1
91360,37100,1
93407,42020,1
92131,41740,1
93311,12540,1
95382,33700,1
92407,40140,1
91768,31100,1
95929,17020,1
90747,31100,1
93740,23420,1
92831,31100,1
94542,41860,1
90840,31100,1
90032,31100,1
91330,31100,1
95819,40900,1
94720,41860,1
95616,40900,1
92697,31100,1
90095,31100,1
92521,40140,1
92093,41740,1
94143,41860,1
93106,42060,1
95064,42100,1
93703,23420,1
92108,41740,1
94102,41860,1
91355,31100,1
94590,46700,1
94061,41860,1
90650,31100,1
93555,12540,1
94545,41860,1
91737,40140,1
92866,31100,1
90059,31100,1
92612,31100,1
92019,41740,1
91741,31100,1
94112,41860,1
91711,31100,1
90004,31100,1
92708,31100,1
94089,41940,1
90744,31100,1
95370,38020,2
91356,31100,1
90221,31100,1
94806,41860,1
95823,40900,1
92399,40140,1
93403,42020,1
90630,31100,1
95014,41940,1
92260,40140,1
92121,41740,1
94523,41860,1
94901,41860,1
94709,41860,1
91754,31100,1
90506,31100,1
95403,42220,1
95135,41940,1
90015,31100,1
92110,41740,1
95971,-2,-2
94022,41940,1
93741,23420,1
93702,23420,1
92832,31100,1
95020,41940,1
91208,31100,1
92647,31100,1
92020,41740,1
93901,41500,1
93704,23420,1
95035,41940,1
94520,41860,1
94619,41860,1
95521,21700,2
95207,44700,1
92251,20940,1
90010,31100,1
92660,31100,1
92618,31100,1
92123,41740,1
90077,31100,1
93654,23420,1
91773,31100,1
91750,31100,1
92651,31100,1
96150,40900,1
94607,41860,1
96130,45000,2
94612,41860,1
92515,40140,1
92350,40140,1
90808,31100,1
91371,31100,1
90047,31100,1
91401,31100,1
91321,31100,1
90029,31100,1
90033,31100,1
91342,31100,1
94565,41860,1
90045,31100,1
95821,40900,1
92083,41740,1
94904,41860,1
90275,31100,1
95482,46380,2
94027,41860,1
95348,32900,1
94613,41860,1
92056,41740,1
95054,41940,1
95350,33700,1
93940,41500,1
93021,37100,1
91789,31100,1
90049,31100,1
92583,40140,1
94558,34900,1
95127,41940,1
92037,41740,1
94110,41860,1
92101,41740,1
94539,41860,1
94002,41860,1
90041,31100,1
92628,31100,1
93033,37100,1
90006,31100,1
94508,34900,1
95211,44700,1
92225,40140,1
92069,41740,1
91106,31100,1
94601,41860,1
90263,31100,1
92115,41740,1
92106,41740,1
93257,47300,1
92706,31100,1
92373,40140,1
95501,21700,2
90601,31100,1
92506,40140,1
95822,40900,1
92692,31100,1
94609,41860,1
92111,41740,1
92126,41740,1
92182,41740,1
94133,41860,1
94122,41860,1
94132,41860,1
94117,41860,1
93291,47300,1
95765,40900,1
95128,41940,1
95192,41940,1
94402,41860,1
93109,42060,1
95053,41940,1
90405,31100,1
95401,42220,1
93277,47300,1
96002,39820,1
96003,39820,1
95677,40900,1
96094,-2,-2
94066,41860,1
92410,40140,1
94556,41860,1
94534,46700,1
94928,42220,1
92626,31100,1
91910,41740,1
90013,31100,1
90089,31100,1
93268,12540,1
93060,37100,1
93003,37100,1
92395,40140,1
94704,41860,1
55401,33460,1
93210,23420,1
90230,31100,1
90301,31100,1
95070,41940,1
95826,40900,1
93108,42060,1
90608,31100,1
